table,columns,primary_key,foreign_keys,unique_constraints,rls_enabled
academic_terms,4,id,0,0,True
bathroom_passes,21,id,1,0,True
Classroom_Arrivals,6,id,0,0,True
classroom_arrivals,6,id,0,0,True
classrooms,2,id,0,1,True
courses,3,id,0,0,True
destinations,3,name,0,0,False
grades_normalized,4,,0,0,False
hall_pass_corrections,5,pass_id,0,0,True
hall_pass_destinations,6,key,0,0,False
hall_passes,8,id,4,0,True
Hall_Passes_deleted_backup,9,,0,0,True
locations,4,id,1,0,True
period_meta,5,period,0,0,True
rosters,5,id,3,0,True
settings,4,id,0,1,True
student_name_synonyms,4,id,0,1,True
students,3,id,1,0,True
users,6,id,0,1,True
